,Наименование продукта,Категория продукта,Подкатегория продукта,Безопасность,Качество,Общий балл,Сайт
0,"Молоко ""Экомилк"" 3,2% пастеризованное", Молочные продукты , Молоко ,95,79,79,https://roscontrol.com/
0,"Молоко ""Ашан"" 2,5%, пастеризованное", Молочные продукты , Молоко ,88,86,76,https://roscontrol.com/
0,"Молоко ""Вологодское лето"" 2,5%, пастеризованное", Молочные продукты , Молоко ,83,62,70,https://roscontrol.com/
0,"Молоко ""Молоко нашей дойки"" 2,5%, пастеризованное", Молочные продукты , Молоко ,90,70,73,https://roscontrol.com/
0,"Молоко Billa 2,5%, пастеризованное", Молочные продукты , Молоко ,89,73,72,https://roscontrol.com/
0,"Молоко ""Сарафаново"" 2,5%, пастеризованное", Молочные продукты , Молоко ,89,73,72,https://roscontrol.com/
0,"Молоко ""Простоквашино"" 2,5%, пастеризованное", Молочные продукты , Молоко ,89,80,75,https://roscontrol.com/
0,"Молоко ""Домик в деревне"" 2,5%, пастеризованное", Молочные продукты , Молоко ,86,75,73,https://roscontrol.com/
0,"Молоко ""Зеленая линия / Маркет Перекресток"", 3,2% пастеризованное", Молочные продукты , Молоко ,80,73,75,https://roscontrol.com/
0,"Молоко ""Искренне Ваш"", 3,2% пастеризованное", Молочные продукты , Молоко ,62,83,70,https://roscontrol.com/
0,"Молоко Globus, 3,2% пастеризованное", Молочные продукты , Молоко ,66,93,75,https://roscontrol.com/
0,"Молоко ""Вологжанка"", 3,2% пастеризованное", Молочные продукты , Молоко ,86,59,72,https://roscontrol.com/
0,"Молоко ""Село Зеленое"" 3,2% пастеризованное", Молочные продукты , Молоко ,88,82,77,https://roscontrol.com/
0,"Молоко ""Красная цена"", 3,2%, ультрапастеризованное", Молочные продукты , Молоко ,83,76,71,https://roscontrol.com/
0,"Молоко ""Простоквашино"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,88,73,73,https://roscontrol.com/
0,"Молоко ""Село Зеленое"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,91,84,77,https://roscontrol.com/
0,"Молоко ""Простоквашино"" отборное, от 3,4% до 4,5% пастеризованное", Молочные продукты , Молоко ,92,91,82,https://roscontrol.com/
0,"Молоко ""Останкинское"" 3,2% ультрапастеризованное", Молочные продукты , Молоко ,97,32,68,https://roscontrol.com/
0,"Кефир ""Коровка из Кореновки"" отборный, 3,2-4,8%", Молочные продукты , Кефир ,91,83,83,https://roscontrol.com/
0,"""Чабан"" 2,5%", Молочные продукты , Кефир ,97,86,82,https://roscontrol.com/
0,"""Простоквашино"" 2,5%", Молочные продукты , Кефир ,97,77,80,https://roscontrol.com/
