,Наименование продукта,Категория продукта,Подкатегория продукта,Безопасность,Качество,Общий балл,Сайт
0,"
                        Макаронные изделия из твердых сортов пшеницы, группа А, высший сорт, Penne Rigate («Пенне Ригате») Barilla                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        Изделия макаронные из твердых сортов пшеницы: «перья» рифленые (группа А, высший сорт) La Molisana                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        Изделия макаронные из пшеничной муки «Итальянские»                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        Изделия макаронные «перья», группа А, сорт высший «Роллтон»                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,5.000,5.0000,https://rskrf.ru
0,"
                        Изделия макаронные, группа А, высший сорт Grand di Pasta                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,4.730,4.8650,https://rskrf.ru
0,"
                        Изделия макаронные, группа А, высший сорт «Лимак»                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,4.460,4.7300,https://rskrf.ru
0,"
                        Изделия макаронные группа А, высший сорт, перья Makfa                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,4.190,4.5950,https://rskrf.ru
0,"
                        Макаронные изделия из твердых сортов пшеницы, группы А, высший сорт «Гальяни»                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,4.190,4.5950,https://rskrf.ru
0,"
                        Изделия макаронные, группы А, высшего сорта, №23, «перья» рифленые Federici                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,3.920,4.4600,https://rskrf.ru
0,"
                        Макаронные изделия из муки твердой пшеницы Maltagliati                    ",Бакалея,Макаронные изделия «перья» из твердых сортов пшеницы,5.000,4.730,4.1900,https://rskrf.ru
