object_category_Id,FullName,ShortName,global_id,LegalAddress,ChiefName,ChiefPosition,PublicPhone,WebSite,ID,Email
,Управа района Внуково города Москвы,,38726507,"119027, г. Москва, Спортивная улица, дом 3А",Алехин Сергей Алексеевич,глава управы,"PublicPhone:(495) 777-77-77

",vnukovo.mos.ru,125,"Email:uprava-vnukovo@mos.ru

"
,Управа района Солнцево города Москвы,,38726518,"119620, г. Москва, улица Богданова, дом 50",Сорока Евгений Васильевич,глава управы,"PublicPhone:(495) 777-77-77

",solntsevo.mos.ru,134,"Email:solntsevo@mos.ru

"
,Управа района Филевский парк города Москвы,,38726520,"121309, г. Москва, Большая Филёвская улица, дом 13",Мирошниченко Роман Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",filevsky-park.mos.ru,136,"Email:upravafp@mos.ru

"
,Государственное учреждение - Отделение Пенсионного фонда Российской Федерации по г. Москве и Московской области,ГУ - ОПФР по г. Москве и МО,38726533,"115419, г. Москва, улица Стасовой, дом 14, корпус 2",Андреев Андрей Евгеньевич,управляющий Отделением,"PublicPhone:(800) 302-23-02

PublicPhone:(495) 987-09-09

",www.pfrf.ru,6,"Email:pfrf@mos.ru

"
,Департамент труда и социальной защиты населения города Москвы,ДСЗН,38726537,"107078, г. Москва, Новая Басманная улица, дом 10, строение 1",Стружак Евгений Петрович,"Министр Правительства Москвы, руководитель","PublicPhone:(495) 777-77-77

PublicPhone:(495) 623-10-20

",www.dszn.ru,9,"Email:dszn@mos.ru

"
,Префектура Западного административного округа города Москвы,Префектура ЗАО,38726545,"121351, г.Москва, улица Ивана Франко, дом 12",Александров Алексей Олегович,префект,"PublicPhone:(495) 777-77-77

",zao.mos.ru,16,"Email:zao@mos.ru

"
,Префектура Центрального административного округа города Москвы,Префектура ЦАО,38726552,"109147, г.Москва, Марксистская улица, дом 24",Говердовский Владимир Вячеславович,префект,"PublicPhone:(495) 777-77-77

",cao.mos.ru,21,"Email:cao@mos.ru

"
,Префектура Юго-Восточного административного округа города Москвы,Префектура ЮВАО,38726553,"111024, г. Москва, Авиамоторная улица, дом 10",Цыбин Андрей Владимирович,префект,"PublicPhone:(495) 777-77-77

",uvao.mos.ru,22,"Email:uvao-pref@mos.ru

"
,Префектура Южного административного округа города Москвы,Префектура ЮАО,38726555,"115280, г. Москва, Автозаводская улица, дом 10",Челышев Алексей Валентинович,префект,"PublicPhone:(495) 777-77-77

",uao.mos.ru,24,"Email:PrefectureUAO@mos.ru

"
,Префектура Троицкого и Новомосковского административных округов города Москвы,Префектура ТиНАО,38726556,"117042, г. Москва, аллея Витте, дом 5",Набокин Дмитрий Владимирович,префект,"PublicPhone:(495) 777-77-77

",tinao.mos.ru,25,"Email:tinao@mos.ru

"
,Управа Красносельского района города Москвы,,38726562,"107140, г. Москва, Нижняя Красносельская улица, дом 5, строение 7",Орлова Светлана Анатольевна,глава управы,"PublicPhone:(495) 777-77-77

",krasnoselsky.mos.ru,29,"Email:ur-krasnosel@mos.ru

"
,Управа района Хамовники города Москвы,,38726567,"119034, г. Москва, улица Пречистенка, дом 14",Дерюгин Максим Александрович,глава управы,"PublicPhone:(495) 777-77-77

",hamovniki.mos.ru,34,"Email:ur_hamovn@mos.ru

"
